,Found as,Full name,InDefinitiveList,Start,End,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_Token,End_Token,Start_Index,End_Index,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
44,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Alexander Island,Alexander Island,462,464,2710,2726,"have been recorded from Alexander Island in the continental west Antarctic (Maslen 1979) and Yeates (1979) reported Plectus antarcticus, Plectus frigophilus, and a Helicotylenchus sp.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
45,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,544,545,3168,3178,MATERIALS AND METHODS Moss and algal samples were collected from various sites around Ross Island and the Dry Valleys area of Antarctica.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
46,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,590,591,3413,3423,This extraction period was chosen because of the limited time available for processing samples in Antarctica and because preliminary experiments had indicated that most nematodes had been recovered from the sample during this interval.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
47,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Crater Hill,Crater Hill,762,764,4279,4290,Sample no. 1 was from a small area of moss growth on the lower slopes of Crater Hill behind Scott Base.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
48,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Lake Canopus,Lake Canopus,1015,1017,5487,5499,"Samples from the Dry Valleys region were from algae growing in meltwater from the Barclay Glacier (samples 14-16), from areas of red or orange algal growth in the meltwater and around the edge of several small ponds in between Lake Vanda and Lake Bull (samples 17-20), from extensive areas of algal growth around the edge of Lake Canopus near Lake Vanda (samples 21 and 22), and from algal growth in Drift Stream near Lake Fryxell (samples 23-25).",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
49,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,1355,1356,7191,7201,"Plectus antarcticus and M. villosa Table 1 Nematodes of the McMurdo Sound Region, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
50,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Lake Canopus,Lake Canopus,1719,1721,8338,8350,"L. Vanda algae 4 (wet) 10.5 - - + + - - R,T 21 Lake Canopus algae 1 0.05 - - + — - — R,T,C 22 Lake Canopus algae 2 0.48 - - + - - - R,T,C 23 Lake Fryxell algae 1 0.5 - - + - - - R,T,C 24 Lake Fryxell algae 2 6.8 _ - + - - - R,T,C 25 Lake Fryxell algae 3 3.8 - + + - —- - R,T,C (+) present, (—) absent, (C) ciliates, (F) flagellates, (R) rotifers, (T) tardigrades, (",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
51,Plectus antarcticus,Plectus antarcticus,True,262,264,1507,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,2059,2060,9889,9899,"Yeates, G. W. 1979: Terrestrialnematodes from the Bungar Hills and Gaussberg, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
52,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,73,74,397,407,"A survey of terrestrial nematodes from the McMurdo Sound region, Antarctica, New Zealand Journal of Zoology, 16:3, 467-470, DOI: 10.1080/03014223.1989.10422914    To link to this article: https://doi.org/10.1080/03014223.1989.10422914 fe Published online: 09 Feb 2012.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
53,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,188,189,1071,1081,"16: 467-470 467 0301-4223/89/1603-0467-$2.50/0 © Crown Copyright 1989 Short communication A survey of terrestrial nematodes from the McMurdo Sound region, Antarctica D.A. WHARTON I.M. BROWN Department of Zoology, University of Otago, P.O. Box 56, Dunedin, New Zealand Abstract Asurvey was undertaken of the nematode fauna associated with moss and algal growth from terrestrial sites on Ross Island and the Dry Valleys of the McMurdo Sound region, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
54,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Ross Island,Ross Island,227,229,1302,1313,"16: 467-470 467 0301-4223/89/1603-0467-$2.50/0 © Crown Copyright 1989 Short communication A survey of terrestrial nematodes from the McMurdo Sound region, Antarctica D.A. WHARTON I.M. BROWN Department of Zoology, University of Otago, P.O. Box 56, Dunedin, New Zealand Abstract Asurvey was undertaken of the nematode fauna associated with moss and algal growth from terrestrial sites on Ross Island and the Dry Valleys of the McMurdo Sound region, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
55,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,239,240,1363,1373,"16: 467-470 467 0301-4223/89/1603-0467-$2.50/0 © Crown Copyright 1989 Short communication A survey of terrestrial nematodes from the McMurdo Sound region, Antarctica D.A. WHARTON I.M. BROWN Department of Zoology, University of Otago, P.O. Box 56, Dunedin, New Zealand Abstract Asurvey was undertaken of the nematode fauna associated with moss and algal growth from terrestrial sites on Ross Island and the Dry Valleys of the McMurdo Sound region, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
56,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,305,306,1790,1800,Keywords Nematode; Antarctica; Ross Island; fauna survey; moss; algae; Plectus frigophilus; Eudorylaimus antarcticus; Scottnema lindsayae; Plectus antarcticus; Panagrolaimus davidi; Monhystera villosa.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
57,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Alexander Island,Alexander Island,462,464,2710,2726,"have been recorded from Alexander Island in the continental west Antarctic (Maslen 1979) and Yeates (1979) reported Plectus antarcticus, Plectus frigophilus, and a Helicotylenchus sp.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
58,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,544,545,3168,3178,MATERIALS AND METHODS Moss and algal samples were collected from various sites around Ross Island and the Dry Valleys area of Antarctica.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
59,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,590,591,3413,3423,This extraction period was chosen because of the limited time available for processing samples in Antarctica and because preliminary experiments had indicated that most nematodes had been recovered from the sample during this interval.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
60,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Crater Hill,Crater Hill,762,764,4279,4290,Sample no. 1 was from a small area of moss growth on the lower slopes of Crater Hill behind Scott Base.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
61,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Lake Canopus,Lake Canopus,1015,1017,5487,5499,"Samples from the Dry Valleys region were from algae growing in meltwater from the Barclay Glacier (samples 14-16), from areas of red or orange algal growth in the meltwater and around the edge of several small ponds in between Lake Vanda and Lake Bull (samples 17-20), from extensive areas of algal growth around the edge of Lake Canopus near Lake Vanda (samples 21 and 22), and from algal growth in Drift Stream near Lake Fryxell (samples 23-25).",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
62,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,1355,1356,7191,7201,"Plectus antarcticus and M. villosa Table 1 Nematodes of the McMurdo Sound Region, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
63,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Lake Canopus,Lake Canopus,1719,1721,8338,8350,"L. Vanda algae 4 (wet) 10.5 - - + + - - R,T 21 Lake Canopus algae 1 0.05 - - + — - — R,T,C 22 Lake Canopus algae 2 0.48 - - + - - - R,T,C 23 Lake Fryxell algae 1 0.5 - - + - - - R,T,C 24 Lake Fryxell algae 2 6.8 _ - + - - - R,T,C 25 Lake Fryxell algae 3 3.8 - + + - —- - R,T,C (+) present, (—) absent, (C) ciliates, (F) flagellates, (R) rotifers, (T) tardigrades, (",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
64,Panagrolaimus davidi,Panagrolaimus davidi,True,265,267,1528,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,2059,2060,9889,9899,"Yeates, G. W. 1979: Terrestrialnematodes from the Bungar Hills and Gaussberg, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
65,Monhystera villosa,Monhystera villosa,True,269,271,1553,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,73,74,397,407,"A survey of terrestrial nematodes from the McMurdo Sound region, Antarctica, New Zealand Journal of Zoology, 16:3, 467-470, DOI: 10.1080/03014223.1989.10422914    To link to this article: https://doi.org/10.1080/03014223.1989.10422914 fe Published online: 09 Feb 2012.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
66,Monhystera villosa,Monhystera villosa,True,269,271,1553,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Antarctica,Antarctica,188,189,1071,1081,"16: 467-470 467 0301-4223/89/1603-0467-$2.50/0 © Crown Copyright 1989 Short communication A survey of terrestrial nematodes from the McMurdo Sound region, Antarctica D.A. WHARTON I.M. BROWN Department of Zoology, University of Otago, P.O. Box 56, Dunedin, New Zealand Abstract Asurvey was undertaken of the nematode fauna associated with moss and algal growth from terrestrial sites on Ross Island and the Dry Valleys of the McMurdo Sound region, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
67,Monhystera villosa,Monhystera villosa,True,269,271,1553,"Six species, in decreasing order of abundance, were identified: Plectus frigophilus, Eudorylaimus antarcticus, Scottnema lindsayae, Plectus antarcticus, Panagrolaimus davidi,and Monhystera villosa.",True,Ross Island,Ross Island,227,229,1302,1313,"16: 467-470 467 0301-4223/89/1603-0467-$2.50/0 © Crown Copyright 1989 Short communication A survey of terrestrial nematodes from the McMurdo Sound region, Antarctica D.A. WHARTON I.M. BROWN Department of Zoology, University of Otago, P.O. Box 56, Dunedin, New Zealand Abstract Asurvey was undertaken of the nematode fauna associated with moss and algal growth from terrestrial sites on Ross Island and the Dry Valleys of the McMurdo Sound region, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
